년도,구,계_구역수 (개),계_면적 (㎡)
2018,종로구,21,7967027
2018,중구,9,940188
2018,용산구,7,4289440
2018,성동구,12,1753326
2018,광진구,12,1811926
2018,동대문구,13,1189468
2018,중랑구,9,2127417
2018,성북구,11,2831752
2018,강북구,7,918750
2018,도봉구,14,1165307
2018,노원구,23,7818258
2018,은평구,12,1451040
2018,서대문구,9,843610
2018,마포구,13,1288155
2018,양천구,12,6798212
2018,강서구,18,4225309
2018,구로구,4,1803271
2018,금천구,11,1486820
2018,영등포구,8,1713578
2018,동작구,18,1011855
2018,관악구,12,1820496
2018,서초구,15,6224975
2018,강남구,20,19963164
2018,송파구,17,4816770
2018,강동구,11,6603928
