구,원자료,전기대비증감률
강남구,92.37916666666666,0.6316666666666667
강동구,91.71916666666668,0.7166666666666667
강북구,91.00666666666666,0.3825
강서구,92.86416666666666,0.49416666666666664
관악구,92.57333333333334,0.3025
광진구,92.16083333333334,0.385
구로구,91.84833333333334,0.405
금천구,92.88,0.27666666666666667
노원구,88.57166666666666,0.3183333333333333
도봉구,90.72166666666668,0.33749999999999997
동대문구,90.59500000000001,0.48583333333333334
동작구,90.505,0.6175
마포구,89.34833333333334,0.7866666666666666
서대문구,92.57,0.4816666666666667
서초구,92.10083333333334,0.575
성동구,91.2375,0.64
성북구,91.02166666666666,0.5691666666666667
송파구,91.52416666666666,0.5725
양천구,91.745,0.47750000000000004
영등포구,89.59166666666665,0.6241666666666666
용산구,90.75833333333333,0.7491666666666666
은평구,92.51416666666667,0.4066666666666667
종로구,92.83333333333333,0.47500000000000003
중구,91.6025,0.64
중랑구,92.11333333333333,0.3408333333333333
