월,구,수급등급
01,종로구,107.7
02,종로구,110.3
03,종로구,110.2
04,종로구,92.2
05,종로구,88.9
06,종로구,97.8
07,종로구,98.2
08,종로구,115.1
09,종로구,119.8
10,종로구,115.8
11,종로구,108.3
12,종로구,106.2
01,중구,107.7
02,중구,110.3
03,중구,110.2
04,중구,92.2
05,중구,88.9
06,중구,97.8
07,중구,98.2
08,중구,115.1
09,중구,119.8
10,중구,115.8
11,중구,108.3
12,중구,106.2
01,용산구,107.7
02,용산구,110.3
03,용산구,110.2
04,용산구,92.2
05,용산구,88.9
06,용산구,97.8
07,용산구,98.2
08,용산구,115.1
09,용산구,119.8
10,용산구,115.8
11,용산구,108.3
12,용산구,106.2
01,성동구,92.5
02,성동구,94.2
03,성동구,93.3
04,성동구,88.4
05,성동구,88.6
06,성동구,91.3
07,성동구,93.7
08,성동구,96.2
09,성동구,108.4
10,성동구,103.6
11,성동구,100.6
12,성동구,99.2
01,광진구,92.5
02,광진구,94.2
03,광진구,93.3
04,광진구,88.4
05,광진구,88.6
06,광진구,91.3
07,광진구,93.7
08,광진구,96.2
09,광진구,108.4
10,광진구,103.6
11,광진구,100.6
12,광진구,99.2
01,동대문구,92.5
02,동대문구,94.2
03,동대문구,93.3
04,동대문구,88.4
05,동대문구,88.6
06,동대문구,91.3
07,동대문구,93.7
08,동대문구,96.2
09,동대문구,108.4
10,동대문구,103.6
11,동대문구,100.6
12,동대문구,99.2
01,중랑구,92.5
02,중랑구,94.2
03,중랑구,93.3
04,중랑구,88.4
05,중랑구,88.6
06,중랑구,91.3
07,중랑구,93.7
08,중랑구,96.2
09,중랑구,108.4
10,중랑구,103.6
11,중랑구,100.6
12,중랑구,99.2
01,성북구,92.5
02,성북구,94.2
03,성북구,93.3
04,성북구,88.4
05,성북구,88.6
06,성북구,91.3
07,성북구,93.7
08,성북구,96.2
09,성북구,108.4
10,성북구,103.6
11,성북구,100.6
12,성북구,99.2
01,강북구,92.5
02,강북구,94.2
03,강북구,93.3
04,강북구,88.4
05,강북구,88.6
06,강북구,91.3
07,강북구,93.7
08,강북구,96.2
09,강북구,108.4
10,강북구,103.6
11,강북구,100.6
12,강북구,99.2
01,도봉구,92.5
02,도봉구,94.2
03,도봉구,93.3
04,도봉구,88.4
05,도봉구,88.6
06,도봉구,91.3
07,도봉구,93.7
08,도봉구,96.2
09,도봉구,108.4
10,도봉구,103.6
11,도봉구,100.6
12,도봉구,99.2
01,노원구,92.5
02,노원구,94.2
03,노원구,93.3
04,노원구,88.4
05,노원구,88.6
06,노원구,91.3
07,노원구,93.7
08,노원구,96.2
09,노원구,108.4
10,노원구,103.6
11,노원구,100.6
12,노원구,99.2
01,은평구,98.3
02,은평구,100.1
03,은평구,100.4
04,은평구,94.5
05,은평구,87.8
06,은평구,84.0
07,은평구,88.2
08,은평구,92.7
09,은평구,97.7
10,은평구,92.1
11,은평구,86.9
12,은평구,85.8
01,서대문구,98.3
02,서대문구,100.1
03,서대문구,100.4
04,서대문구,94.5
05,서대문구,87.8
06,서대문구,84.0
07,서대문구,88.2
08,서대문구,92.7
09,서대문구,97.7
10,서대문구,92.1
11,서대문구,86.9
12,서대문구,85.8
01,마포구,98.3
02,마포구,100.1
03,마포구,100.4
04,마포구,94.5
05,마포구,87.8
06,마포구,84.0
07,마포구,88.2
08,마포구,92.7
09,마포구,97.7
10,마포구,92.1
11,마포구,86.9
12,마포구,85.8
01,양천구,104.0
02,양천구,105.8
03,양천구,103.1
04,양천구,102.7
05,양천구,101.8
06,양천구,100.1
07,양천구,103.6
08,양천구,109.7
09,양천구,112.7
10,양천구,105.8
11,양천구,103.1
12,양천구,96.3
01,강서구,104.0
02,강서구,105.8
03,강서구,103.1
04,강서구,102.7
05,강서구,101.8
06,강서구,100.1
07,강서구,103.6
08,강서구,109.7
09,강서구,112.7
10,강서구,105.8
11,강서구,103.1
12,강서구,96.3
01,구로구,104.0
02,구로구,105.8
03,구로구,103.1
04,구로구,102.7
05,구로구,101.8
06,구로구,100.1
07,구로구,103.6
08,구로구,109.7
09,구로구,112.7
10,구로구,105.8
11,구로구,103.1
12,구로구,96.3
01,금천구,104.0
02,금천구,105.8
03,금천구,103.1
04,금천구,102.7
05,금천구,101.8
06,금천구,100.1
07,금천구,103.6
08,금천구,109.7
09,금천구,112.7
10,금천구,105.8
11,금천구,103.1
12,금천구,96.3
01,영등포구,104.0
02,영등포구,105.8
03,영등포구,103.1
04,영등포구,102.7
05,영등포구,101.8
06,영등포구,100.1
07,영등포구,103.6
08,영등포구,109.7
09,영등포구,112.7
10,영등포구,105.8
11,영등포구,103.1
12,영등포구,96.3
01,동작구,104.0
02,동작구,105.8
03,동작구,103.1
04,동작구,102.7
05,동작구,101.8
06,동작구,100.1
07,동작구,103.6
08,동작구,109.7
09,동작구,112.7
10,동작구,105.8
11,동작구,103.1
12,동작구,96.3
01,관악구,104.0
02,관악구,105.8
03,관악구,103.1
04,관악구,102.7
05,관악구,101.8
06,관악구,100.1
07,관악구,103.6
08,관악구,109.7
09,관악구,112.7
10,관악구,105.8
11,관악구,103.1
12,관악구,96.3
01,서초구,123.1
02,서초구,119.1
03,서초구,112.1
04,서초구,100.3
05,서초구,93.6
06,서초구,92.0
07,서초구,91.8
08,서초구,104.1
09,서초구,123.5
10,서초구,107.1
11,서초구,94.9
12,서초구,89.4
01,강남구,123.1
02,강남구,119.1
03,강남구,112.1
04,강남구,100.3
05,강남구,93.6
06,강남구,92.0
07,강남구,91.8
08,강남구,104.1
09,강남구,123.5
10,강남구,107.1
11,강남구,94.9
12,강남구,89.4
01,송파구,123.1
02,송파구,119.1
03,송파구,112.1
04,송파구,100.3
