구,합계_개소,합계_영업장면적,합계_매장면적,합계_건물연면적,대형마트_개소,대형마트_영업장면적,대형마트_매장면적,대형마트_건물연면적,백화점_개소,백화점_영업장면적,백화점_매장면적,백화점_건물연면적,전문점_개소,전문점_영업장면적,전문점_매장면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_영업장면적,쇼핑센터_매장면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_영업장면적,복합쇼핑몰_매장면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_영업장면적,그밖의 대규모점포_매장면적,그밖의 대규모점포_건물연면적
소계,462,8934225,5369493,27875489,62,1425427,846381,6381776,32,1826636,946484,4198450,23,533207,382895,3635571,35,1282675,725818,3504602,9,367105,221206,1373826,301,3499175,2246711,8781264
종로구,12,181221,133876,444978,-,-,-,-,-,-,-,-,2,18593,16256,168311,-,-,-,-,-,-,-,-,10,162628,117620,276667
중구,53,1130041,688455,4168708,2,44983,26479,408605,3,113521,86672,386180,2,27374,20821,520930,8,184432,99051,294531,-,-,-,-,38,759731,455432,2558462
용산구,15,375607,299226,1218260,2,17568,14185,293331,1,28954,19377,276688,5,192916,167320,228979,3,122659,86786,298328,-,-,-,-,4,13510,11558,120934
성동구,12,192666,111534,632097,2,78442,28891,198358,-,-,-,-,1,27129,27129,31845,-,-,-,-,1,14758,13997,142038,8,72338,41517,259857
광진구,19,275416,138447,822944,2,33032,15442,313847,1,77189,27064,88629,-,-,-,-,-,-,-,-,-,-,-,-,16,165195,95941,420468
동대문구,23,329473,172452,797378,2,42804,22921,220971,2,82334,53326,203479,3,41731,28501,75102,-,-,-,-,-,-,-,-,16,162604,67704,297826
중랑구,14,155636,114817,586582,6,97461,66688,257850,-,-,-,-,-,-,-,-,-,-,-,-,1,24981,21844,232943,7,33194,26285,95789
성북구,11,151375,100663,162191,3,37019,47024,47024,1,87868,36583,88679,-,-,-,-,-,-,-,-,1,26488,17056,26488,6,-,-,-
강북구,13,116902,96414,184038,1,13162,8319,19707,1,47899,45651,73173,-,-,-,-,2,25120,17188,37900,-,-,-,-,9,30721,25256,53258
도봉구,9,75609,53923,141130,3,38922,25115,91084,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,36687,28808,50046
노원구,14,281152,166521,446552,3,81953,42343,134100,2,109380,58519,132704,-,-,-,-,-,-,-,-,-,-,-,-,9,89819,65659,179748
은평구,18,135283,86112,324452,2,45458,22986,139162,-,-,-,-,-,-,-,-,4,60978,37538,145047,-,-,-,-,12,28847,25588,40243
서대문구,9,139423,80282,199525,-,-,-,-,1,83713,35472,84575,-,-,-,-,-,-,-,-,-,-,-,-,8,55710,44810,114950
마포구,15,113903,80768,678379,3,50737,31906,521007,-,-,-,-,1,19588,13532,29002,-,-,-,-,-,-,-,-,11,43578,35330,128370
양천구,14,253769,119303,443945,2,26342,14074,59518,2,175000,62577,239441,-,-,-,-,1,23728,19765,3387,-,-,-,-,9,28699,22887,141599
강서구,19,578398,330093,1089049,4,201759,155481,482673,1,65213,34547,110026,1,22798,17623,38254,1,214747,77670,315098,-,-,-,-,12,73881,44772,142998
구로구,24,644193,364371,1830202,4,99952,45030,569584,2,145991,63277,210647,-,-,-,-,1,9564,4389,13224,-,-,-,-,17,388686,251675,1036747
금천구,15,455639,322035,748144,3,70629,56885,153342,-,-,-,-,-,-,-,-,5,143635,103085,284932,1,46249,24948,98995,6,195126,137117,210875
영등포구,27,639377,384827,1578301,5,129434,79697,685439,2,92383,50499,146749,2,56299,19564,113125,3,186257,101724,385067,1,76007,37286,84288,14,98997,96057,163633
동작구,6,27112,23288,39029,-,-,-,-,1,11900,11900,15248,-,-,-,-,-,-,-,-,-,-,-,-,5,15212,11388,23781
관악구,21,152499,108601,336220,1,17536,14784,32282,1,27852,21711,91647,-,-,-,-,1,7263,7081,7870,3,45438,26037,87194,15,54410,38988,117227
서초구,27,523395,299026,1408128,3,51059,22979,208763,2,111977,65607,285708,3,101810,54347,231184,-,-,-,-,-,-,-,-,19,258549,156093,682473
강남구,32,660926,399228,2044719,1,11981,5174,46778,6,230309,136951,318845,-,-,-,-,3,38474,20879,394014,1,133184,80038,701880,21,246978,156186,583202
송파구,24,1089003,551347,7100330,5,154340,68062,1390126,2,266257,107756,1371829,3,24969,17802,2198839,3,265818,150662,1325204,-,-,-,-,11,377619,207065,814332
강동구,16,256208,143884,450208,3,80854,31916,108225,1,68896,28994,74203,-,-,-,-,-,-,-,-,-,-,-,-,12,106457,82974,267780
