구,합계_개소,합계_매장면적,합계_건물연면적,대형마트_개소,대형마트_매장면적,대형마트_건물연면적,백화점_개소,백화점_매장면적,백화점_건물연면적,전문점_개소,전문점_매장면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_매장면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_매장면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_매장면적,그밖의 대규모점포_건물연면적
소계,467,5393420,27016613,61,857904,6237959,31,972185,4043627,22,346180,2829420,36,784804,3761856,10,278711,1534046,307,2153637,8609705
종로구,12,133876,444978,-,-,-,-,-,-,2,16256,168311,-,-,-,-,-,-,10,117620,276667
중구,53,830925,4311058,2,31231,408605,3,130194,257042,2,21856,520932,8,141414,402147,-,-,-,38,506229,2722332
용산구,15,243055,1214923,2,14165,293331,1,19377,276688,5,139371,230512,3,58795,298680,-,-,-,4,11347,115712
성동구,13,110740,598745,2,28891,198358,-,-,-,1,27129,31845,-,-,-,1,13997,142038,9,40723,226504
광진구,19,99408,822946,2,14314,313848,1,27017,88630,-,-,-,-,-,-,-,-,-,16,58077,420468
동대문구,22,159472,771692,2,22921,220971,1,40346,177793,3,28501,75102,-,-,-,-,-,-,16,67704,297826
중랑구,14,114817,586582,6,66688,257850,-,-,-,-,-,-,-,-,-,1,21844,232943,7,26285,95789
성북구,20,120900,182428,3,47024,47024,1,36583,88679,-,-,-,-,-,-,1,17056,26488,15,20237,20237
강북구,13,96414,184038,1,8319,19707,1,45651,73173,-,-,-,2,17188,37900,-,-,-,9,25256,53258
도봉구,9,53923,141130,3,25115,91084,-,-,-,-,-,-,-,-,-,-,-,-,6,28808,50046
노원구,14,187117,506793,2,23319,94373,2,58519,132704,-,-,-,1,38200,99968,-,-,-,9,67079,179748
은평구,18,143003,484001,2,22986,139162,-,-,-,-,-,-,4,37538,145047,1,57505,160220,11,24974,39572
서대문구,9,80282,199525,-,-,-,1,35472,84575,-,-,-,-,-,-,-,-,-,8,44810,114950
마포구,15,80768,678379,3,31906,521007,-,-,-,1,13532,29002,-,-,-,-,-,-,11,35330,128370
양천구,13,119303,443945,1,14074,59518,2,62577,239441,-,-,-,1,19765,3387,-,-,-,9,22887,141599
강서구,18,315656,1054037,4,155481,482673,1,34547,110026,1,17623,38254,1,77670,315098,-,-,-,11,30335,107986
구로구,21,309916,1819866,4,40587,569584,2,61978,210647,-,-,-,1,4389,13224,-,-,-,14,202962,1026411
금천구,16,333499,771936,3,56885,153342,-,-,-,-,-,-,5,103085,284932,1,24948,98995,7,148581,234667
영등포구,28,402843,1626729,6,97713,733867,2,50499,146749,2,19564,113125,3,101724,385067,1,37286,84288,14,96057,163633
동작구,6,23288,39029,-,-,-,1,11900,15248,-,-,-,-,-,-,-,-,-,5,11388,23781
관악구,21,107180,320190,1,14784,32282,1,21711,91647,-,-,-,1,7081,7870,3,26037,87194,15,37567,101197
서초구,27,299026,1408128,3,22979,208763,2,65607,285708,3,54347,231184,-,-,-,-,-,-,19,156093,682473
강남구,32,332701,1815204,1,5174,46778,6,136951,318845,-,-,-,3,27290,443334,1,80038,701880,21,83248,304367
송파구,23,551424,6140123,5,81432,1237607,2,104262,1371829,2,8001,1391153,3,150664,1325202,-,-,-,11,207065,814332
강동구,16,143884,450208,3,31916,108225,1,28994,74203,-,-,-,-,-,-,-,-,-,12,82974,267780
