구,합계_개소,합계_판매면적,합계_건물연면적,대형마트_개소,대형마트_판매면적,대형마트_건물연면적,백화점_개소,백화점_판매면적,백화점_건물연면적,전문점_개소,전문점_판매면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_판매면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_판매면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_판매면적,그밖의 대규모점포_건물연면적
소계,461,4835972,24848784,57,629533,5198138,31,1036322,4034667,22,337589,2348163,38,798015,4219892,9,177843,1435052,304,1856670,7612873
종로구,13,156702,490721,-,-,-,-,-,-,2,16256,168311,-,-,-,-,-,-,11,140446,322410
중구,53,749557,2940785,2,30700,477708,3,129514,257206,2,18375,76932,8,123284,472189,-,-,-,38,447683,1656751
용산구,13,335578,651897,2,14185,16643,1,17898,22663,6,166605,231510,3,130014,275665,-,-,-,1,6876,105416
성동구,13,88850,598745,2,25949,198358,-,-,-,1,27129,31845,-,-,-,1,13997,142038,9,21775,226504
광진구,19,96306,822504,2,14314,313848,1,24668,88630,-,-,-,-,-,-,-,-,-,16,57324,420026
동대문구,21,183143,771692,2,22920,220971,1,40346,177793,3,28501,75102,-,-,-,-,-,-,15,91376,297826
중랑구,14,98711,586582,6,59713,257850,-,-,-,-,-,-,-,-,-,1,16011,232943,7,22987,95789
성북구,21,87861,329447,3,34768,163782,1,35955,88679,-,-,-,-,-,-,1,6473,26488,16,10665,50498
강북구,12,80994,179010,1,8319,19709,1,45651,73173,-,-,-,2,7925,37900,-,-,-,8,19099,48228
도봉구,8,28403,121382,2,17711,52566,-,-,-,-,-,-,-,-,-,-,-,-,6,10693,68816
노원구,14,164758,506793,2,14655,94373,2,50179,132704,-,-,-,1,35563,99968,-,-,-,9,64361,179748
은평구,17,139536,495112,2,22986,139162,-,-,-,-,-,-,4,37538,145047,1,57505,160220,10,21507,50683
서대문구,9,81559,199525,-,-,-,1,32388,84575,-,-,-,-,-,-,-,-,-,8,49171,114950
마포구,16,77840,657614,3,30122,446005,-,-,-,1,6726,29002,1,9445,54235,-,-,-,11,31547,128372
양천구,20,149357,453681,1,14074,59518,1,62577,239441,-,-,-,1,19765,47172,-,-,-,17,52941,107550
강서구,15,169928,695800,3,47408,167576,1,34259,110026,-,-,-,1,67679,315098,-,-,-,10,20582,103100
구로구,23,320053,1776319,3,28765,509686,2,75366,216662,-,-,-,1,4389,13224,-,-,-,17,211533,1036747
금천구,15,299212,993624,3,51761,160588,-,-,-,-,-,-,7,130580,631544,-,-,-,5,116871,201492
영등포구,26,418656,1483096,5,58789,392973,3,129883,340685,2,11963,113125,2,82881,351445,1,29972,84288,13,105168,200580
동작구,5,21589,30354,-,-,-,1,11900,15248,-,-,-,-,-,-,-,-,-,4,9689,15106
관악구,21,90445,318912,1,8692,32282,1,21061,91674,-,-,-,1,3384,7870,3,23568,87195,15,33739,99891
서초구,27,277560,1638939,4,32676,355985,2,67781,305174,3,54034,231184,-,-,-,-,-,-,18,123069,746596
강남구,32,255893,1815204,1,5174,46778,6,132245,318845,-,-,-,3,18083,443334,1,30317,701880,21,70074,304367
송파구,22,349032,5866062,4,60029,963551,2,90670,1371828,2,8000,1391152,3,127484,1325202,-,-,-,11,62849,814329
강동구,12,114448,424984,3,25823,108225,1,33980,99661,-,-,-,-,-,-,-,-,-,8,54645,217098
