구,총인구,내국인-계,외국인-계
종로구,148857,137913,10944
중구,126310,114942,11368
용산구,221688,205288,16400
성동구,286469,276273,10196
광진구,347099,328395,18704
동대문구,348201,329092,19109
중랑구,380307,373443,6864
성북구,435509,422428,13081
강북구,292611,287693,4918
도봉구,309200,306168,3032
노원구,503929,498257,5672
은평구,457385,451661,5724
서대문구,314547,299912,14635
마포구,365192,352832,12360
양천구,433373,428082,5291
강서구,559837,551470,8367
구로구,426220,383334,42886
금천구,247398,222191,25207
영등포구,402984,359642,43342
동작구,388094,373671,14423
관악구,495777,473263,22514
서초구,392302,385150,7152
강남구,503019,494171,8848
송파구,634720,624977,9743
강동구,451099,444799,6300
