년도,구,동(호)수,면적 (천㎡)
2020,강남구,20797,2568
2020,강동구,19511,1438
2020,강북구,9998,736
2020,강서구,21311,1465
2020,관악구,11392,1011
2020,광진구,8547,705
2020,구로구,14396,1200
2020,금천구,12952,1038
2020,노원구,16635,1085
2020,도봉구,10053,747
2020,동대문구,15294,1074
2020,동작구,11866,1105
2020,마포구,15040,1064
2020,서대문구,12810,898
2020,서초구,14978,1540
2020,성동구,10962,1043
2020,성북구,13703,1031
2020,송파구,23116,1820
2020,양천구,14383,962
2020,영등포구,19284,1791
2020,용산구,10370,1005
2020,은평구,22235,1441
2020,종로구,6589,617
2020,중구,7345,1258
2020,중랑구,12043,962
