구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도
종로구,46885,11987,15775,5490,12725,908,2021
중구,42319,5865,26327,1896,7370,861,2021
용산구,75739,13716,38631,3911,18785,696,2021
성동구,91033,9916,68090,1976,10031,1020,2021
광진구,91432,15096,32571,4119,38226,1420,2021
동대문구,104287,16388,66512,3287,16569,1531,2021
중랑구,114488,17995,56651,4423,33916,1503,2021
성북구,140138,21661,80967,6230,29900,1380,2021
강북구,97840,17261,34875,4834,39859,1011,2021
도봉구,107959,8449,65305,4201,29289,715,2021
노원구,190352,6553,164583,3444,15089,683,2021
은평구,156710,14627,64712,5842,70307,1222,2021
서대문구,102024,12356,55231,5440,28094,903,2021
마포구,126005,11171,73836,3127,36364,1507,2021
양천구,145843,7597,92278,3954,41185,829,2021
강서구,199556,10060,116965,4752,66670,1109,2021
구로구,134367,11316,83841,7495,30883,832,2021
금천구,71117,8645,32995,3954,25002,521,2021
영등포구,110396,14054,77550,1501,16134,1157,2021
동작구,119534,14362,65242,5209,33669,1052,2021
관악구,127783,21109,55524,6214,43014,1922,2021
서초구,135171,5326,95298,5286,28062,1199,2021
강남구,175536,6500,128437,5735,33232,1632,2021
송파구,215731,7791,131487,4720,70238,1495,2021
강동구,146249,9672,94531,3199,37790,1057,2021
