No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
1,2021년 1월,98.9,0.21,98.48,0.26,98.29,0.31,98.18,0.37,98.14,0.35,97.9,0.36,98.11,0.27,98.11,0.25,98.09,0.38,96.6,0.39,95.63,0.45,98.17,0.29,98.68,0.25,97.71,0.38,97.83,0.32,98.36,0.29,98.43,0.23,98.55,0.22,97.79,0.25,97.45,0.54,98.17,0.35,96.59,0.61,96.88,0.56,97.18,0.69,97.56,0.66
2,2021년 2월,99.14,0.24,98.91,0.43,98.72,0.44,98.77,0.6,98.67,0.53,98.52,0.63,98.55,0.45,98.45,0.34,98.56,0.48,97.39,0.81,96.45,0.86,98.56,0.39,98.98,0.3,98.33,0.63,98.16,0.33,98.7,0.34,98.74,0.32,98.88,0.33,98.3,0.52,98,0.57,98.66,0.5,97.17,0.6,97.43,0.57,97.73,0.57,98.06,0.52
3,2021년 3월,99.34,0.2,99.14,0.24,99,0.28,99.15,0.38,99.04,0.38,98.91,0.39,98.9,0.35,98.76,0.32,98.89,0.34,97.92,0.55,97.11,0.68,98.84,0.28,99.21,0.23,98.68,0.35,98.57,0.43,99,0.31,99.04,0.31,99.11,0.24,98.63,0.34,98.42,0.43,98.98,0.32,97.62,0.46,97.87,0.45,98.17,0.45,98.37,0.31
4,2021년 4월,99.55,0.21,99.37,0.23,99.24,0.25,99.35,0.21,99.35,0.31,99.19,0.29,99.25,0.35,99.05,0.3,99.23,0.35,98.48,0.56,97.78,0.69,99.12,0.29,99.42,0.21,98.94,0.27,98.95,0.38,99.25,0.25,99.29,0.25,99.33,0.22,98.93,0.31,98.75,0.33,99.27,0.29,98.03,0.42,98.36,0.5,98.6,0.44,98.66,0.29
5,2021년 5월,99.73,0.18,99.57,0.2,99.54,0.29,99.59,0.24,99.66,0.31,99.5,0.31,99.57,0.33,99.37,0.32,99.55,0.32,99.04,0.57,98.53,0.76,99.47,0.36,99.63,0.21,99.31,0.38,99.38,0.44,99.5,0.25,99.54,0.25,99.55,0.23,99.32,0.39,99.16,0.42,99.51,0.25,98.61,0.59,98.95,0.6,99.12,0.53,99.03,0.38
6,2021년 6월,100,0.27,100,0.44,100,0.47,100,0.41,100,0.34,100,0.51,100,0.43,100,0.64,100,0.45,100,0.97,100,1.49,100,0.53,100,0.38,100,0.69,100,0.62,100,0.5,100,0.46,100,0.45,100,0.68,100,0.85,100,0.49,100,1.41,100,1.06,100,0.89,100,0.98
7,2021년 7월,100.36,0.36,100.33,0.33,100.47,0.47,100.39,0.39,100.35,0.35,100.44,0.44,100.53,0.53,100.57,0.57,100.49,0.49,101.02,1.02,101.32,1.32,100.54,0.54,100.38,0.38,100.49,0.49,100.48,0.48,100.51,0.51,100.47,0.47,100.35,0.35,100.62,0.62,100.63,0.63,100.45,0.45,100.75,0.75,100.75,0.75,100.68,0.68,100.68,0.68
8,2021년 8월,100.94,0.58,100.82,0.49,101.1,0.64,100.89,0.49,100.72,0.36,101.02,0.58,101.11,0.58,101.21,0.64,100.94,0.45,102.1,1.07,102.68,1.34,101.26,0.72,100.81,0.42,101.05,0.56,101.02,0.53,101.14,0.63,100.98,0.51,100.68,0.33,101.25,0.62,101.37,0.74,100.97,0.52,101.61,0.85,101.55,0.8,101.57,0.88,101.38,0.7
9,2021년 9월,101.47,0.52,101.31,0.49,101.79,0.68,101.29,0.4,101.04,0.32,101.63,0.6,101.67,0.55,101.83,0.61,101.36,0.42,102.86,0.75,103.76,1.05,101.96,0.69,101.21,0.4,101.68,0.62,101.49,0.47,101.86,0.71,101.59,0.6,101.22,0.53,101.85,0.6,102.04,0.66,101.47,0.49,102.58,0.96,102.8,1.22,102.89,1.3,102.17,0.78
10,2021년 10월,102.07,0.59,101.97,0.65,102.7,0.9,101.68,0.39,101.35,0.31,102.09,0.46,102.22,0.55,102.5,0.66,101.8,0.43,103.62,0.74,104.67,0.88,102.72,0.75,101.8,0.59,102.51,0.82,102.01,0.51,102.43,0.56,102.23,0.63,101.92,0.7,102.42,0.56,102.81,0.75,102.05,0.57,103.64,1.03,103.92,1.09,104.01,1.09,102.94,0.75
11,2021년 11월,102.57,0.49,102.51,0.53,103.52,0.79,101.99,0.3,101.64,0.28,102.39,0.29,102.75,0.51,103.08,0.57,102.19,0.39,104.15,0.51,105.28,0.58,103.37,0.63,102.27,0.46,103.18,0.65,102.48,0.47,102.91,0.47,102.76,0.52,102.46,0.53,102.8,0.37,103.41,0.59,102.42,0.37,104.59,0.92,104.68,0.73,104.88,0.84,103.53,0.57
12,2021년 12월,102.82,0.24,102.65,0.14,103.89,0.36,102.12,0.13,101.88,0.23,102.57,0.17,102.97,0.22,103.3,0.2,102.34,0.15,104.33,0.17,105.54,0.24,103.56,0.18,102.46,0.18,103.39,0.2,102.79,0.3,103.18,0.26,103.09,0.32,102.57,0.11,103.02,0.21,103.75,0.33,102.65,0.23,105.17,0.55,105.14,0.44,105.24,0.34,103.81,0.27
13,2022년 1월,102.8,-0.01,102.63,-0.02,103.92,0.03,102.17,0.05,101.94,0.06,102.59,0.02,103.04,0.07,103.25,-0.04,102.4,0.05,104.35,0.02,105.46,-0.08,103.51,-0.05,102.44,-0.02,103.38,0,102.91,0.11,103.26,0.07,103.18,0.08,102.61,0.03,103.07,0.05,103.88,0.12,102.72,0.06,105.3,0.12,105.21,0.07,105.34,0.09,103.82,0.01
