No,자료시점,종로구,종로구,중구,중구,용산구,용산구,성동구,성동구,광진구,광진구,동대문구,동대문구,중랑구,중랑구,성북구,성북구,강북구,강북구,도봉구,도봉구,노원구,노원구,은평구,은평구,서대문구,서대문구,마포구,마포구,양천구,양천구,강서구,강서구,구로구,구로구,금천구,금천구,영등포구,영등포구,동작구,동작구,관악구,관악구,서초구,서초구,강남구,강남구,송파구,송파구,강동구,강동구
No,자료시점,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률,원자료,전기대비증감률
1,2015년 1월,84.61,0.06,81.41,0.16,79.43,0,77.26,0.01,81.17,0.1,79.73,0.06,85.44,0.05,81.59,0.04,84.71,0,82.62,0.03,76.61,0.07,84.52,0,83.15,0.02,76.96,0.06,78.91,0.04,79.96,0.08,80.22,0.22,84.93,0.15,76.61,0.09,78.66,0.04,83.74,0.1,77.24,0.01,73.52,0.34,77.45,0.14,75.9,0.16
2,2015년 2월,84.64,0.03,81.59,0.22,79.49,0.07,77.51,0.32,81.32,0.18,79.87,0.18,85.5,0.08,81.66,0.09,84.75,0.05,82.71,0.11,76.93,0.41,84.67,0.18,83.23,0.1,76.98,0.03,79.09,0.23,80.03,0.08,80.35,0.16,84.97,0.05,76.71,0.12,78.74,0.1,83.75,0.01,77.5,0.33,73.96,0.59,77.59,0.18,76.32,0.55
3,2015년 3월,84.75,0.14,81.88,0.36,79.57,0.1,77.84,0.44,81.75,0.53,80.26,0.48,85.59,0.1,81.76,0.12,84.82,0.09,82.86,0.18,77.49,0.74,84.77,0.12,83.37,0.17,77.09,0.14,79.39,0.37,80.18,0.2,80.5,0.18,85.19,0.25,76.81,0.14,78.89,0.2,83.79,0.04,78.02,0.67,74.67,0.97,77.92,0.42,76.99,0.89
4,2015년 4월,84.94,0.22,82.13,0.31,79.68,0.14,78.26,0.53,82.21,0.56,80.55,0.37,85.65,0.07,81.95,0.23,84.89,0.07,83.02,0.19,78.41,1.19,84.96,0.22,83.66,0.35,77.26,0.22,79.85,0.58,80.67,0.61,81.05,0.69,85.47,0.34,77.16,0.46,79.18,0.37,84,0.26,78.65,0.81,75.26,0.78,78.38,0.59,77.99,1.3
5,2015년 5월,85.11,0.2,82.3,0.2,79.84,0.19,78.57,0.4,82.47,0.32,80.88,0.4,85.75,0.12,82.18,0.28,85.02,0.15,83.25,0.28,78.9,0.63,85.14,0.21,83.83,0.2,77.43,0.22,80.3,0.57,81.1,0.54,81.63,0.71,85.73,0.29,77.58,0.55,79.42,0.31,84.39,0.46,79.09,0.56,75.74,0.65,78.75,0.47,78.76,0.99
6,2015년 6월,85.5,0.45,82.51,0.25,80.06,0.27,78.94,0.47,82.76,0.35,81.3,0.52,85.86,0.13,82.5,0.4,85.14,0.15,83.53,0.35,79.45,0.7,85.43,0.35,84.08,0.3,77.76,0.43,80.81,0.64,81.51,0.5,82.27,0.78,86.05,0.38,78.03,0.57,79.73,0.38,84.65,0.3,79.67,0.74,76.41,0.87,79.16,0.53,79.36,0.75
7,2015년 7월,85.75,0.29,82.6,0.12,80.25,0.25,79.36,0.53,83,0.29,81.8,0.61,86.06,0.24,82.71,0.25,85.34,0.23,83.89,0.42,79.91,0.57,85.64,0.24,84.3,0.26,77.9,0.18,80.95,0.17,81.8,0.35,82.77,0.62,86.26,0.25,78.39,0.46,80,0.35,84.84,0.22,80.01,0.42,77.03,0.82,79.47,0.39,79.58,0.28
8,2015년 8월,85.83,0.1,82.75,0.18,80.44,0.23,79.93,0.71,83.42,0.5,82.19,0.48,86.25,0.22,82.91,0.24,85.47,0.15,84.3,0.49,80.41,0.63,85.82,0.22,84.47,0.2,78.1,0.25,81.19,0.29,82.12,0.4,83,0.27,86.44,0.2,78.61,0.29,80.19,0.23,85.03,0.22,80.44,0.53,77.58,0.71,79.74,0.33,79.98,0.51
9,2015년 9월,85.94,0.12,83.01,0.32,80.53,0.12,80.36,0.54,83.79,0.45,82.85,0.8,86.51,0.3,83.2,0.34,85.78,0.37,84.77,0.56,81,0.73,86.06,0.27,84.73,0.3,78.4,0.38,81.55,0.44,82.42,0.36,83.58,0.7,86.81,0.43,78.93,0.41,80.43,0.3,85.28,0.3,80.97,0.66,78.04,0.59,80,0.33,80.41,0.54
10,2015년 10월,86.09,0.18,83.3,0.35,80.73,0.25,80.94,0.72,84.38,0.71,83.55,0.85,86.89,0.44,83.55,0.43,86.21,0.5,85.08,0.36,81.52,0.65,86.3,0.28,85.03,0.36,78.72,0.41,81.81,0.32,82.84,0.51,84.04,0.54,87.06,0.29,79.33,0.5,80.65,0.27,85.65,0.43,81.39,0.52,78.37,0.42,80.4,0.49,80.86,0.56
