"시점",종합,종합,종합,종합,종합
"시점",도심권,동북권,서북권,서남권,동남권
"2015.01",80.6,93.8,68.4,95.0,101.4
"2015.02",81.0,98.7,69.3,96.1,101.4
"2015.03",81.0,101.5,71.3,98.3,101.5
"2015.04",81.0,104.1,74.5,102.4,101.5
"2015.05",83.1,103.4,74.3,101.4,101.7
"2015.06",82.2,104.2,74.9,103.6,101.7
"2015.07",82.4,105.8,78.1,103.0,101.2
"2015.08",82.0,105.0,78.4,104.1,100.7
"2015.09",80.5,109.1,80.4,106.7,101.1
"2015.10",81.6,112.4,81.6,105.6,101.1
"2015.11",82.5,113.8,82.5,103.1,101.4
"2015.12",80.7,109.3,82.5,104.1,101.2
"2016.01",80.5,104.2,82.3,101.7,101.2
"2016.02",80.5,100.6,86.8,99.9,101.1
"2016.03",80.5,97.0,87.1,98.5,101.1
"2016.04",80.3,96.8,87.1,97.7,100.9
"2016.05",80.3,96.5,87.2,99.0,101.1
"2016.06",80.3,96.9,88.3,100.6,101.8
"2016.07",80.8,96.9,88.4,102.8,102.2
"2016.08",88.6,96.7,88.2,107.5,102.3
"2016.09",99.9,97.2,90.6,108.3,102.6
"2016.10",97.4,97.3,90.8,111.1,105.5
"2016.11",97.3,97.1,91.9,109.6,105.3
"2016.12",96.1,97.1,91.3,110.5,103.0
"2017.01",93.0,96.3,89.6,107.2,100.9
"2017.02",93.0,95.9,91.9,107.1,100.1
"2017.03",93.5,96.1,94.8,106.1,102.3
"2017.04",99.0,95.8,97.6,102.2,98.5
"2017.05",99.1,96.3,98.1,107.6,103.9
"2017.06",109.4,99.1,105.2,111.1,107.3
"2017.07",112.0,101.8,103.0,107.1,112.6
"2017.08",106.1,97.2,97.9,101.9,107.9
"2017.09",99.2,96.1,96.5,102.5,101.3
"2017.10",94.9,95.0,96.8,102.4,104.4
"2017.11",93.5,94.6,97.5,102.6,107.4
"2017.12",104.9,92.7,94.8,102.7,116.7
"2018.01",107.7,92.5,98.3,104.0,123.1
"2018.02",110.3,94.2,100.1,105.8,119.1
"2018.03",110.2,93.3,100.4,103.1,112.1
"2018.04",92.2,88.4,94.5,102.7,100.3
"2018.05",88.9,88.6,87.8,101.8,93.6
"2018.06",97.8,91.3,84.0,100.1,92.0
"2018.07",98.2,93.7,88.2,103.6,91.8
"2018.08",115.1,96.2,92.7,109.7,104.1
"2018.09",119.8,108.4,97.7,112.7,123.5
"2018.10",115.8,103.6,92.1,105.8,107.1
"2018.11",108.3,100.6,86.9,103.1,94.9
"2018.12",106.2,99.2,85.8,96.3,89.4
"2019.01",89.4,89.9,73.0,89.7,84.3
"2019.02",74.1,89.0,68.9,81.9,79.0
"2019.03",74.2,88.2,68.6,79.2,80.6
"2019.04",75.0,87.8,67.7,77.4,80.9
"2019.05",76.3,88.7,68.1,77.7,82.6
"2019.06",79.6,87.6,70.4,80.2,85.7
"2019.07",78.4,94.3,82.8,87.6,94.6
"2019.08",86.0,98.0,88.3,94.6,99.6
"2019.09",88.2,100.5,90.5,95.6,102.0
"2019.10",91.3,105.4,93.4,103.3,108.9
"2019.11",96.5,106.3,96.6,105.4,111.4
"2019.12",109.0,111.4,104.8,122.2,118.5
"2020.01",104.5,109.6,104.2,118.5,114.8
"2020.02",104.5,110.8,104.5,111.9,104.9
"2020.03",104.2,108.0,105.2,112.0,106.4
"2020.04",95.9,103.0,99.7,110.0,101.4
"2020.05",91.5,98.7,97.3,104.2,99.3
"2020.06",97.4,108.3,102.5,110.1,103.6
"2020.07",116.2,121.1,109.7,118.3,114.8
"2020.08",117.6,122.1,109.5,117.5,115.6
"2020.09",114.4,117.9,108.9,114.1,111.9
"2020.10",109.8,113.1,106.2,108.2,102.0
"2020.11",110.7,113.4,106.9,109.8,107.1
"2020.12",114.2,118.6,108.9,111.1,111.8
