구,합계_개소,합계_판매면적,합계_건물연면적,대형마트_개소,대형마트_판매면적,대형마트_건물연면적,백화점_개소,백화점_판매면적,백화점_건물연면적,전문점_개소,전문점_판매면적,전문점_건물연면적,쇼핑센터_개소,쇼핑센터_판매면적,쇼핑센터_건물연면적,복합쇼핑몰_개소,복합쇼핑몰_판매면적,복합쇼핑몰_건물연면적,그밖의 대규모점포_개소,그밖의 대규모점포_판매면적,그밖의 대규모점포_건물연면적
소계,444,4752549,25471156,55,590997,4904097,31,1032900,3998397,24,331899,2347163,41,889010,4732999,8,120338,1274832,285,1787405,8213669
종로구,13,156702,490721,-,-,-,-,-,-,2,16256,168311,-,-,-,-,-,-,11,140446,322410
중구,54,755206,2967459,2,30700,477708,3,129514,257206,2,18375,76932,9,127030,498863,-,-,-,38,449586,1656751
용산구,15,335577,650896,2,14185,16643,1,17898,22663,8,166604,230509,3,130014,275665,-,-,-,1,6876,105416
성동구,8,66659,479598,1,11437,98956,-,-,-,1,27129,31845,-,-,-,1,13997,142038,5,14096,206759
광진구,19,96306,822504,2,14314,313848,1,24668,88630,-,-,-,-,-,-,-,-,-,16,57324,420026
동대문구,22,135079,815697,2,18464,79448,1,33840,141523,3,22812,75103,-,-,-,-,-,-,16,59963,519623
중랑구,14,98711,586582,6,59713,257850,-,-,-,-,-,-,-,-,-,1,16011,232943,7,22987,95789
성북구,19,86829,328355,3,34768,163782,1,35955,88679,-,-,-,-,-,-,1,6473,26488,14,9633,49406
강북구,12,80994,179010,1,8319,19709,1,45651,73173,-,-,-,2,7925,37900,-,-,-,8,19099,48229
도봉구,8,28403,121341,2,17711,52543,-,-,-,-,-,-,-,-,-,-,-,-,6,10693,68798
노원구,14,164758,506793,2,14655,94373,2,50179,132704,-,-,-,1,35563,99968,-,-,-,9,64361,179748
은평구,16,123604,487863,2,20109,139162,-,-,-,-,-,-,5,86483,305267,-,-,-,9,17012,43434
서대문구,9,80282,199525,-,-,-,1,35472,84575,-,-,-,-,-,-,-,-,-,8,44810,114950
마포구,16,77840,657614,3,30122,446005,-,-,-,1,6726,29002,1,9445,54235,-,-,-,11,31547,128372
양천구,20,149357,453681,1,14074,59518,1,62577,239441,-,-,-,1,19765,47172,-,-,-,17,52941,107550
강서구,9,144994,629998,2,30717,114484,1,34259,110026,-,-,-,1,67679,315098,-,-,-,5,12339,90391
구로구,19,335996,2070259,3,28765,509686,2,75366,216662,-,-,-,2,42693,339437,-,-,-,12,189172,1004474
금천구,15,299212,993624,3,51761,160588,-,-,-,-,-,-,7,130580,631544,-,-,-,5,116871,201492
영등포구,27,421743,1535641,5,58789,392973,3,129883,340685,2,11963,113125,2,82881,351445,1,29972,84288,14,108255,253125
동작구,6,61058,516970,-,-,-,1,11900,15248,-,-,-,-,-,-,-,-,-,5,49158,501722
관악구,21,90445,318912,1,8692,32282,1,21061,91674,-,-,-,1,3384,7870,3,23568,87195,15,33739,99891
서초구,25,270687,1630173,4,32676,355985,2,67781,305174,3,54034,231184,-,-,-,-,-,-,16,116196,737830
강남구,32,255893,1815204,1,5174,46778,6,132245,318845,-,-,-,3,18083,443334,1,30317,701880,21,70074,304367
송파구,22,349032,5866062,4,60029,963551,2,90670,1371828,2,8000,1391152,3,127484,1325202,-,-,-,11,62849,814329
강동구,9,87181,346674,3,25823,108225,1,33980,99661,-,-,-,-,-,-,-,-,-,5,27378,138788
