구,총인구,내국인-계,외국인-계
종로구,146179,133520,12659
중구,127576,115926,11650
용산구,214791,200568,14223
성동구,277683,267315,10368
광진구,348160,326550,21610
동대문구,355999,332745,23254
중랑구,376621,368837,7784
성북구,432874,417166,15708
강북구,284155,277553,6602
도봉구,299931,296367,3564
노원구,492979,486643,6336
은평구,452988,447341,5647
서대문구,320168,303117,17051
마포구,361380,348439,12941
양천구,422248,416909,5339
강서구,549557,541039,8518
구로구,423397,380160,43237
금천구,245860,220365,25495
영등포구,400544,357659,42885
동작구,384089,367635,16454
관악구,493677,469484,24193
서초구,385267,378883,6384
강남구,511084,502796,8288
송파구,630744,621338,9406
강동구,446561,440018,6543
