년도,구,동(호)수,면적 (천㎡)
2021,강남구,20748,2490
2021,강동구,13813,1207
2021,강북구,7839,546
2021,강서구,20483,2092
2021,관악구,8169,716
2021,광진구,7695,553
2021,구로구,12322,1750
2021,금천구,14173,1196
2021,노원구,8641,590
2021,도봉구,9523,619
2021,동대문구,9679,795
2021,동작구,7432,709
2021,마포구,10426,801
2021,서대문구,6684,512
2021,서초구,15652,1726
2021,성동구,7571,761
2021,성북구,9727,734
2021,송파구,20960,1569
2021,양천구,9234,629
2021,영등포구,13566,1016
2021,용산구,8508,837
2021,은평구,16627,1039
2021,종로구,5633,676
2021,중구,8182,853
2021,중랑구,9604,736
2022,강남구,11153,1384
2022,강동구,7244,469
2022,강북구,5514,361
2022,강서구,11816,696
2022,관악구,5394,459
2022,광진구,4246,329
2022,구로구,7517,496
2022,금천구,9469,895
2022,노원구,3273,248
2022,도봉구,3472,218
2022,동대문구,7021,529
2022,동작구,5564,440
2022,마포구,6500,517
2022,서대문구,3519,271
2022,서초구,7991,896
2022,성동구,4801,464
2022,성북구,4703,340
2022,송파구,8069,575
2022,양천구,4154,398
2022,영등포구,8456,749
2022,용산구,4658,433
2022,은평구,7423,495
2022,종로구,3452,412
2022,중구,5120,597
2022,중랑구,5729,365
2023,강남구,7045,843
2023,강동구,22696,1521
2023,강북구,3732,230
2023,강서구,7834,531
2023,관악구,5308,411
2023,광진구,4471,330
2023,구로구,5281,377
2023,금천구,7155,494
2023,노원구,4113,271
2023,도봉구,3127,202
2023,동대문구,13081,801
2023,동작구,4411,329
2023,마포구,5077,387
2023,서대문구,4371,286
2023,서초구,7284,654
2023,성동구,5749,547
2023,성북구,7460,555
2023,송파구,6802,740
2023,양천구,4175,288
2023,영등포구,8261,645
2023,용산구,3241,359
2023,은평구,7692,489
2023,종로구,2600,327
2023,중구,3253,493
2023,중랑구,4781,279
