구,계,단독주택,아파트,연립주택,다세대주택,비주거용주택,년도,비주거용 비율 (%)
종로구,46885,11987,15775,5490,12725,908,2021,1.936653513917031
중구,42319,5865,26327,1896,7370,861,2021,2.034547130130674
용산구,75739,13716,38631,3911,18785,696,2021,0.9189453253937866
성동구,91033,9916,68090,1976,10031,1020,2021,1.120472795579625
광진구,91432,15096,32571,4119,38226,1420,2021,1.5530667599965
동대문구,104287,16388,66512,3287,16569,1531,2021,1.4680640923605053
중랑구,114488,17995,56651,4423,33916,1503,2021,1.3128013416253232
성북구,140138,21661,80967,6230,29900,1380,2021,0.9847436098702707
강북구,97840,17261,34875,4834,39859,1011,2021,1.0333197056418644
도봉구,107959,8449,65305,4201,29289,715,2021,0.6622884613603313
노원구,190352,6553,164583,3444,15089,683,2021,0.3588089434311171
은평구,156710,14627,64712,5842,70307,1222,2021,0.7797843149767085
서대문구,102024,12356,55231,5440,28094,903,2021,0.8850858621500822
마포구,126005,11171,73836,3127,36364,1507,2021,1.1959842863378438
양천구,145843,7597,92278,3954,41185,829,2021,0.5684194647669069
강서구,199556,10060,116965,4752,66670,1109,2021,0.5557337288781095
구로구,134367,11316,83841,7495,30883,832,2021,0.6191996546771157
금천구,71117,8645,32995,3954,25002,521,2021,0.7325955819283716
영등포구,110396,14054,77550,1501,16134,1157,2021,1.048045219029675
동작구,119534,14362,65242,5209,33669,1052,2021,0.8800843274716816
관악구,127783,21109,55524,6214,43014,1922,2021,1.504112440621992
서초구,135171,5326,95298,5286,28062,1199,2021,0.8870245836754924
강남구,175536,6500,128437,5735,33232,1632,2021,0.9297238173366147
송파구,215731,7791,131487,4720,70238,1495,2021,0.6929926621579653
강동구,146249,9672,94531,3199,37790,1057,2021,0.7227399845469029
종로구,46810,11823,15923,5532,12651,881,2022,1.8820764793847466
중구,42401,5751,26366,1879,7572,833,2022,1.964576307162567
용산구,77116,13450,39805,3887,19309,665,2022,0.8623372581565434
성동구,90740,9410,68125,2058,10177,970,2022,1.068988318271986
광진구,93555,14901,33862,4158,39240,1394,2022,1.4900326011437122
동대문구,106441,16110,68445,3298,17090,1498,2022,1.4073524299846862
중랑구,118357,17751,59121,4466,35535,1484,2022,1.2538337402941948
성북구,142602,20892,83701,6146,30510,1353,2022,0.948794547061051
강북구,99477,17134,35997,4867,40483,996,2022,1.0012364667209506
도봉구,109190,8381,65664,4229,30210,706,2022,0.6465793570839821
노원구,192022,6519,166131,3487,15212,673,2022,0.3504806740894273
은평구,160630,14469,67705,5831,71420,1205,2022,0.7501712008964702
서대문구,105047,12239,57952,5457,28507,892,2022,0.8491437166220835
마포구,127057,10720,74959,3080,36850,1448,2022,1.1396459856599794
양천구,146886,7519,92705,3965,41885,812,2022,0.5528096619146822
강서구,201611,9717,117945,4751,68125,1073,2022,0.5322130240909474
구로구,137403,11182,86340,7518,31551,812,2022,0.5909623516225991
금천구,72044,8507,33231,3929,25869,508,2022,0.7051246460496363
영등포구,112068,13623,79110,1581,16644,1110,2022,0.9904700717421565
동작구,120374,14058,65921,5157,34212,1026,2022,0.852343529333577
관악구,129778,20855,57133,6224,43684,1882,2022,1.4501687497110451
서초구,132706,5187,92711,5287,28377,1144,2022,0.8620559733546335
강남구,178493,6223,131599,5649,33469,1553,2022,0.8700621312880618
송파구,220192,7657,135070,4766,71257,1442,2022,0.654883011190234
강동구,148323,9411,95721,3216,38934,1041,2022,0.7018466454966525
종로구,47025,11620,16300,5544,12695,866,2023,1.8415736310473152
중구,44191,5735,28126,1873,7625,832,2023,1.8827363037722613
용산구,77734,13370,39806,3921,19978,659,2023,0.8477628836802429
성동구,91252,9345,68191,2017,10735,964,2023,1.0564152018585893
광진구,95286,14861,35072,4173,39797,1383,2023,1.4514199357723065
동대문구,110169,16085,71810,3301,17465,1508,2023,1.3688061069810928
중랑구,119961,17698,59984,4465,36336,1478,2023,1.2320670884704197
성북구,143240,20848,83728,6362,30957,1345,2023,0.9389835241552638
강북구,100418,17068,36541,4903,40911,995,2023,0.9908582126710351
도봉구,109465,8290,65690,4250,30536,699,2023,0.6385602704060659
노원구,192926,6356,167100,3530,15272,668,2023,0.3462467474575744
은평구,165462,14350,72002,5826,72085,1199,2023,0.7246376811594203
서대문구,106640,12188,59417,5460,28686,889,2023,0.8336459114778695
마포구,129421,10626,77146,3026,37175,1448,2023,1.1188292471855419
양천구,147619,7517,93107,3968,42222,805,2023,0.5453227565557279
강서구,203887,9651,119305,4814,69041,1076,2023,0.5277433087935964
구로구,137863,11083,86368,7631,31973,808,2023,0.5860890884428744
금천구,72901,8486,33513,4005,26393,504,2023,0.6913485411722747
영등포구,114173,13593,80513,1760,17198,1109,2023,0.9713329771487129
동작구,122058,13829,67675,5061,34474,1019,2023,0.8348490062101624
관악구,130244,20630,57467,6196,44071,1880,2023,1.4434446116519764
서초구,136528,5161,96291,5301,28630,1145,2023,0.8386558068674558
강남구,184608,6161,138025,5645,33229,1548,2023,0.8385335413416536
송파구,221082,7621,135448,4754,71827,1432,2023,0.647723469120055
강동구,151178,9410,97890,3252,39584,1042,2023,0.6892537273941975
